"movie_title","color","director_name","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_2_name","actor_1_facebook_likes","gross","actor_1_name","num_voted_users","cast_total_facebook_likes","actor_3_name","facenumber_in_poster","movie_imdb_link","num_user_for_reviews","language","country","content_rating","budget","title_year","actor_2_facebook_likes","aspect_ratio","movie_facebook_likes","imdb_score"
"Stuart Little ","Color","Rob Minkoff","101","84","50","692","Nathan Lane","979","140015224","Chazz Palminteri","94172","3382","Jeffrey Jones","0","http://www.imdb.com/title/tt0164912/?ref_=fn_tt_tt_1","179","English","Germany","PG","133000000","1999","886","1.85","0","5.9"
"Crash ","Color","Paul Haggis","287","115","549","911","Loretta Devine","3000","54557348","Don Cheadle","361169","5732","Jennifer Esposito","0","http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1","1624","English","Germany","R","6500000","2004","912","2.35","18000","7.9"
"Ghost Rider: Spirit of Vengeance ","Color","Mark Neveldine","287","96","83","1000","Spencer Wilding","12000","51774002","Nicolas Cage","87745","16121","Christopher Lambert","1","http://www.imdb.com/title/tt1071875/?ref_=fn_tt_tt_1","331","English","USA","PG-13","57000000","2011","1000","2.35","18000","4.3"
"Gettysburg ","Color","Ron Maxwell","22","271","33","251","William Morgan Sheppard","854","10769960","Tom Berenger","21940","2107","James Patrick Stuart","0","http://www.imdb.com/title/tt0107007/?ref_=fn_tt_tt_1","256","English","USA","PG","25000000","1993","702","1.85","0","7.7"
"Planet of the Apes ","Color","Tim Burton","230","119","13000","567","Estella Warren","1000","180011740","Cary-Hiroyuki Tagawa","177729","2776","Erick Avari","0","http://www.imdb.com/title/tt0133152/?ref_=fn_tt_tt_1","1368","English","USA","PG-13","100000000","2001","658","2.35","0","5.7"
"Daredevil             ",,,"95","54",,"0","Royce Johnson","577",,"Elden Henson","213483","581","Charlie Cox","0","http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1","394","English","USA","TV-MA",,,"4","16","55000","8.8"
"The Pursuit of Happyness ","Color","Gabriele Muccino","201","117","125","168","Kurt Fuller","10000","162586036","Will Smith","338383","11036","James Karen","0","http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1","611","English","USA","PG-13","55000000","2006","617","2.35","32000","8"
"Kiss Kiss Bang Bang ","Color","Shane Black","223","103","1000","611","Corbin Bernsen","21000","4235837","Robert Downey Jr.","175962","23932","Larry Miller","2","http://www.imdb.com/title/tt0373469/?ref_=fn_tt_tt_1","336","English","USA","R","15000000","2005","1000","2.35","0","7.6"
"Music and Lyrics ","Color","Marc Lawrence","175","95","30","664","Scott Porter","799","50562555","Brad Garrett","81334","2787","Haley Bennett","4","http://www.imdb.com/title/tt0758766/?ref_=fn_tt_tt_1","291","English","USA","PG-13",,"2007","690","1.85","0","6.5"
"Horrible Bosses ","Color","Seth Gordon","340","106","91","64","Lindsay Sloane","18000","117528646","Kevin Spacey","353442","18669","Reginald Ballard","5","http://www.imdb.com/title/tt1499658/?ref_=fn_tt_tt_1","387","English","USA","R","35000000","2011","464","2.35","31000","6.9"
